Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,src_ip,dst_ip,protocol,dst_port
2.412891,4,0,96,0,24,24,24,0.0,0,0,0,0,39.78629784768561862098205016,1.657762410320234109207585423,0.804297,0.6858965206581820823108975291,1.596302,0.407983,2.412891,0.804297,0.6858965206581820823108975291,1.596302,0.407983,0,0,0,0,0,32,0,1.657762410320234109207585423,0E+6,24,24,24,0.0,0,0.0,24,24,0,32,0,0,0,0,0,0,4,96,0,0,4,24,0.4082945,0.0004405275246792191077017260376,0.408606,0.407983,1.596302,0,1.596302,1.596302,192.168.1.10,224.0.0.252,UDP,5355
3.153466,9,0,1173,0,137,127,130.33333333333334,5.0,0,0,0,0,371.9716654627004064733851578,2.854002548307164244041318346,0.39418325,0.6808608595180390138086148400,1.516850,0.023621,3.153466,0.39418325,0.6808608595180390138086148400,1.516850,0.023621,0,0,0,0,0,72,0,2.854002548307164244041318346,0E+6,127,137,130.33333333333334,5.0,25.0,0.0,130.33333333333334,130.33333333333334,0,72,0,0,0,0,0,0,9,1173,0,0,9,127,0.053045,0.04600099367405012915326005450,0.081968,0.000000,1.4971655,0.02783808686853318948813684169,1.516850,1.477481,192.168.1.10,239.255.255.250,UDP,1900
3.390896,20,0,1716,0,287,36,85.8,75.51340069292685,0,0,0,0,506.0609349269337661786147378,5.898146094719507764319519089,0.1784682105263157894736842105,0.2943304218858607417700043102,0.932655,0.001109,3.390896,0.1784682105263157894736842105,0.2943304218858607417700043102,0.932655,0.001109,0,0,0,0,0,160,0,5.898146094719507764319519089,0E+6,36,287,85.8,75.51340069292685,5702.273684210525,0.0,85.8,85.8,0,160,0,0,0,0,0,0,20,1716,0,0,20,36,3.390896,0,3.390896,3.390896,0,0,0,0,192.168.1.20,224.0.0.251,UDP,5353
0.000000,1,0,30,0,30,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,30,30,30,0,0,0.0,30,30,0,8,0,0,0,0,0,0,1,30,0,0,1,30,0,0,0,0,0,0,0,0,192.168.1.20,224.0.0.252,UDP,5355
3.008782,3,0,411,0,137,137,137,0.0,0,0,0,0,136.6001258981209007498715427,0.9970812109351890565684054212,1.504391,0.1030989971241233752477407114,1.577293,1.431489,3.008782,1.504391,0.1030989971241233752477407114,1.577293,1.431489,0,0,0,0,0,24,0,0.9970812109351890565684054212,0E+6,137,137,137,0.0,0,0.0,137,137,0,24,0,0,0,0,0,0,3,411,0,0,3,137,0,0,0.000000,0.000000,1.504391,0.1030989971241233752477407114,1.577293,1.431489,192.168.1.20,239.255.255.250,UDP,1900
2.614139,8,0,820,0,284,42,102.5,112.02423207247872,0,0,0,0,313.6788059089436330661835503,3.060281033257986664060327320,0.3734484285714285714285714286,0.6069893581570869525258667232,1.741651,0.047685,2.614139,0.3734484285714285714285714286,0.6069893581570869525258667232,1.741651,0.047685,0,0,0,0,0,64,0,3.060281033257986664060327320,0E+6,42,284,102.5,112.02423207247872,12549.42857142857,0.0,102.5,102.5,0,64,0,0,0,0,0,0,8,820,0,0,8,42,0.436244,0.2511600860367745613820335124,0.613841,0.258647,1.741651,0,1.741651,1.741651,192.168.1.10,224.0.0.251,UDP,5353
2.247011,12,0,816,0,68,68,68,0.0,0,0,0,0,363.1490900578590848019880633,5.340427794968515952970412695,0.2042737272727272727272727273,0.3483241705377595266056278979,0.750914,0.000000,2.247011,0.2042737272727272727272727273,0.3483241705377595266056278979,0.750914,0.000000,0,0,0,0,0,96,0,5.340427794968515952970412695,0E+6,68,68,68,0.0,0,0.0,68,68,0,96,0,0,0,0,0,0,12,816,0,0,12,68,2.247011,0,2.247011,2.247011,0,0,0,0,192.168.1.10,192.168.1.255,UDP,137
1.511837,9,0,612,0,68,68,68,0.0,0,0,0,0,404.8055445130658926855209920,5.953022713427439598316485177,0.188979625,0.3464906472705751733955634488,0.758380,0.000099,1.511837,0.188979625,0.3464906472705751733955634488,0.758380,0.000099,0,0,0,0,0,72,0,5.953022713427439598316485177,0E+6,68,68,68,0.0,0,0.0,68,68,0,72,0,0,0,0,0,0,9,612,0,0,9,68,1.511837,0,1.511837,1.511837,0,0,0,0,192.168.1.20,192.168.1.255,UDP,137
